state,year,count
Alabama,1975.0,1
Alabama,1978.0,2
Alabama,1979.0,2
Alabama,1980.0,2
Alabama,1981.0,1
Alabama,1983.0,2
Alabama,1985.0,1
Alabama,1988.0,1
Alabama,1990.0,2
Alabama,1992.0,1
Alabama,1993.0,1
Alabama,1994.0,1
Alabama,1996.0,1
Alabama,1997.0,1
Alabama,1999.0,3
Alabama,2000.0,5
Alabama,2001.0,2
Alabama,2002.0,2
Alabama,2003.0,3
Alabama,2004.0,3
Alabama,2005.0,2
Alabama,2006.0,4
Alabama,2007.0,10
Alabama,2008.0,6
Alabama,2009.0,1
Alabama,2010.0,1
Alabama,2011.0,1
Alabama,2012.0,5
Alabama,2013.0,8
Alabama,2014.0,8
Alaska,1995.0,1
Alaska,2000.0,1
Alaska,2001.0,1
Alaska,2003.0,1
Alaska,2004.0,4
Alaska,2008.0,2
Alaska,2009.0,1
Arizona,1972.0,1
Arizona,1973.0,1
Arizona,1979.0,1
Arizona,1981.0,3
Arizona,1983.0,1
Arizona,1986.0,1
Arizona,1989.0,1
Arizona,1990.0,1
Arizona,1991.0,1
Arizona,1992.0,1
Arizona,1993.0,1
Arizona,1995.0,1
Arizona,1997.0,1
Arizona,1998.0,1
Arizona,1999.0,1
Arizona,2000.0,3
Arizona,2001.0,2
Arizona,2003.0,1
Arizona,2004.0,1
Arizona,2005.0,4
Arizona,2006.0,9
Arizona,2007.0,6
Arizona,2008.0,4
Arizona,2009.0,3
Arizona,2010.0,1
Arizona,2011.0,2
Arizona,2012.0,1
Arizona,2013.0,4
Arizona,2014.0,3
Arizona,2016.0,1
Arkansas,1961.0,1
Arkansas,1969.0,1
Arkansas,1970.0,1
Arkansas,1972.0,1
Arkansas,1973.0,1
Arkansas,1975.0,3
Arkansas,1976.0,2
Arkansas,1977.0,1
Arkansas,1980.0,3
Arkansas,1981.0,1
Arkansas,1983.0,1
Arkansas,1984.0,1
Arkansas,1986.0,3
Arkansas,1988.0,1
Arkansas,1989.0,1
Arkansas,1992.0,1
Arkansas,1994.0,2
Arkansas,1995.0,1
Arkansas,1996.0,2
Arkansas,1997.0,1
Arkansas,1998.0,3
Arkansas,1999.0,2
Arkansas,2000.0,2
Arkansas,2001.0,8
Arkansas,2002.0,4
Arkansas,2003.0,4
Arkansas,2004.0,8
Arkansas,2005.0,5
Arkansas,2006.0,1
Arkansas,2007.0,1
Arkansas,2008.0,2
Arkansas,2009.0,1
Arkansas,2010.0,4
Arkansas,2011.0,3
Arkansas,2012.0,4
Arkansas,2015.0,2
Arkansas,2016.0,1
Arkansas,2017.0,1
Arkansas,2018.0,1
California,1869.0,1
California,1944.0,1
California,1955.0,1
California,1956.0,1
California,1957.0,1
California,1958.0,1
California,1959.0,1
California,1961.0,1
California,1962.0,1
California,1963.0,4
California,1964.0,1
California,1965.0,2
California,1966.0,2
California,1967.0,1
California,1968.0,2
California,1969.0,1
California,1971.0,2
California,1972.0,1
California,1973.0,2
California,1974.0,4
California,1975.0,2
California,1976.0,1
California,1977.0,7
California,1978.0,7
California,1979.0,2
California,1980.0,5
California,1981.0,4
California,1982.0,3
California,1983.0,3
California,1984.0,3
California,1985.0,3
California,1986.0,3
California,1987.0,3
California,1988.0,4
California,1990.0,1
California,1991.0,3
California,1992.0,5
California,1993.0,9
California,1994.0,6
California,1995.0,1
California,1996.0,1
California,1997.0,5
California,1998.0,5
California,1999.0,3
California,2000.0,8
California,2001.0,18
California,2002.0,12
California,2003.0,14
California,2004.0,12
California,2005.0,10
California,2006.0,16
California,2007.0,13
California,2008.0,14
California,2009.0,7
California,2010.0,7
California,2011.0,1
California,2012.0,2
California,2013.0,2
California,2014.0,3
California,2015.0,2
California,2018.0,1
Colorado,1964.0,2
Colorado,1971.0,4
Colorado,1975.0,1
Colorado,1977.0,2
Colorado,1978.0,1
Colorado,1979.0,1
Colorado,1981.0,1
Colorado,1986.0,2
Colorado,1987.0,2
Colorado,1989.0,1
Colorado,1990.0,1
Colorado,1991.0,1
Colorado,1994.0,4
Colorado,1995.0,2
Colorado,1996.0,3
Colorado,1997.0,5
Colorado,1998.0,6
Colorado,1999.0,3
Colorado,2000.0,9
Colorado,2001.0,9
Colorado,2002.0,4
Colorado,2003.0,5
Colorado,2004.0,4
Colorado,2005.0,8
Colorado,2006.0,3
Colorado,2008.0,3
Colorado,2009.0,3
Colorado,2010.0,1
Colorado,2011.0,1
Colorado,2012.0,2
Colorado,2013.0,2
Colorado,2014.0,4
Colorado,2016.0,1
Colorado,2018.0,1
Connecticut,1953.0,1
Connecticut,1987.0,1
Connecticut,2006.0,1
Connecticut,2010.0,1
Connecticut,2016.0,4
Connecticut,2017.0,1
Connecticut,2018.0,2
Delaware,1999.0,1
Delaware,2010.0,1
Delaware,2012.0,1
Florida,1947.0,1
Florida,1955.0,1
Florida,1961.0,1
Florida,1962.0,1
Florida,1963.0,1
Florida,1969.0,1
Florida,1971.0,1
Florida,1972.0,3
Florida,1973.0,1
Florida,1974.0,6
Florida,1975.0,6
Florida,1976.0,1
Florida,1977.0,4
Florida,1978.0,1
Florida,1979.0,2
Florida,1980.0,6
Florida,1981.0,5
Florida,1982.0,4
Florida,1983.0,4
Florida,1984.0,3
Florida,1985.0,6
Florida,1986.0,2
Florida,1987.0,1
Florida,1988.0,2
Florida,1989.0,3
Florida,1990.0,3
Florida,1991.0,3
Florida,1992.0,1
Florida,1993.0,4
Florida,1994.0,6
Florida,1995.0,3
Florida,1996.0,3
Florida,1997.0,3
Florida,1998.0,6
Florida,1999.0,4
Florida,2000.0,10
Florida,2001.0,5
Florida,2003.0,7
Florida,2004.0,14
Florida,2005.0,11
Florida,2006.0,18
Florida,2007.0,15
Florida,2008.0,7
Florida,2009.0,12
Florida,2010.0,8
Florida,2011.0,12
Florida,2012.0,24
Florida,2013.0,14
Florida,2014.0,2
Florida,2015.0,3
Florida,2016.0,2
Florida,2017.0,3
Florida,2018.0,2
Georgia,1957.0,1
Georgia,1960.0,1
Georgia,1961.0,1
Georgia,1963.0,1
Georgia,1965.0,1
Georgia,1974.0,3
Georgia,1976.0,3
Georgia,1977.0,1
Georgia,1978.0,2
Georgia,1979.0,2
Georgia,1980.0,1
Georgia,1982.0,2
Georgia,1984.0,2
Georgia,1985.0,1
Georgia,1986.0,5
Georgia,1987.0,2
Georgia,1990.0,1
Georgia,1992.0,1
Georgia,1993.0,2
Georgia,1994.0,1
Georgia,1995.0,1
Georgia,1998.0,4
Georgia,1999.0,5
Georgia,2000.0,2
Georgia,2001.0,1
Georgia,2002.0,1
Georgia,2003.0,4
Georgia,2004.0,5
Georgia,2005.0,8
Georgia,2006.0,9
Georgia,2007.0,9
Georgia,2008.0,2
Georgia,2009.0,7
Georgia,2010.0,1
Georgia,2011.0,7
Georgia,2012.0,3
Georgia,2013.0,2
Georgia,2014.0,2
Georgia,2015.0,1
Georgia,2016.0,1
Idaho,1963.0,1
Idaho,1967.0,1
Idaho,1969.0,2
Idaho,1972.0,1
Idaho,1973.0,1
Idaho,1974.0,2
Idaho,1975.0,1
Idaho,1979.0,2
Idaho,1980.0,1
Idaho,1981.0,2
Idaho,1982.0,1
Idaho,1983.0,1
Idaho,1985.0,2
Idaho,1988.0,2
Idaho,1990.0,1
Idaho,1993.0,1
Idaho,1996.0,2
Idaho,1997.0,1
Idaho,2000.0,2
Idaho,2001.0,2
Idaho,2003.0,1
Idaho,2004.0,2
Idaho,2005.0,3
Idaho,2006.0,4
Idaho,2007.0,2
Idaho,2008.0,2
Idaho,2009.0,2
Idaho,2013.0,3
Idaho,2014.0,2
Idaho,2015.0,3
Idaho,2017.0,4
Idaho,2018.0,1
Illinois,1964.0,1
Illinois,1965.0,1
Illinois,1967.0,1
Illinois,1968.0,3
Illinois,1969.0,3
Illinois,1972.0,3
Illinois,1973.0,4
Illinois,1974.0,1
Illinois,1975.0,4
Illinois,1976.0,1
Illinois,1977.0,3
Illinois,1978.0,5
Illinois,1979.0,2
Illinois,1980.0,4
Illinois,1983.0,1
Illinois,1984.0,1
Illinois,1985.0,2
Illinois,1986.0,4
Illinois,1987.0,1
Illinois,1989.0,2
Illinois,1991.0,1
Illinois,1992.0,1
Illinois,1993.0,1
Illinois,1994.0,2
Illinois,1995.0,1
Illinois,1996.0,2
Illinois,1997.0,1
Illinois,1998.0,3
Illinois,1999.0,4
Illinois,2000.0,6
Illinois,2001.0,2
Illinois,2003.0,3
Illinois,2004.0,7
Illinois,2005.0,7
Illinois,2006.0,8
Illinois,2007.0,6
Illinois,2008.0,9
Illinois,2009.0,9
Illinois,2010.0,10
Illinois,2011.0,20
Illinois,2012.0,9
Illinois,2013.0,10
Illinois,2014.0,14
Illinois,2015.0,10
Illinois,2016.0,5
Illinois,2017.0,9
Indiana,1937.0,1
Indiana,1973.0,2
Indiana,1975.0,2
Indiana,1977.0,1
Indiana,1979.0,1
Indiana,1981.0,1
Indiana,1982.0,1
Indiana,1984.0,1
Indiana,1988.0,1
Indiana,1990.0,1
Indiana,1992.0,1
Indiana,1997.0,3
Indiana,1999.0,1
Indiana,2001.0,1
Indiana,2002.0,2
Indiana,2003.0,1
Indiana,2004.0,1
Indiana,2005.0,4
Indiana,2006.0,5
Indiana,2008.0,2
Indiana,2009.0,2
Indiana,2010.0,2
Indiana,2011.0,1
Indiana,2015.0,1
Iowa,1970.0,4
Iowa,1973.0,1
Iowa,1975.0,1
Iowa,1976.0,1
Iowa,1977.0,2
Iowa,1978.0,2
Iowa,1981.0,1
Iowa,1982.0,1
Iowa,1983.0,1
Iowa,1985.0,1
Iowa,1989.0,1
Iowa,1991.0,1
Iowa,1997.0,1
Iowa,1999.0,1
Iowa,2000.0,4
Iowa,2001.0,2
Iowa,2004.0,1
Iowa,2006.0,2
